Year,Competition,Guidelines,Brewer,Beer,Flight Medal,BOS Medal
2017,Fast Like A Monk,BJCP 2015,Richard Conroy,The Trouble With Tripels,gold,
2017,Fast Like A Monk,BJCP 2015,Luke Slisz,Dubbel The Adventure,gold,
2017,Fast Like A Monk,BJCP 2015,Mark Sanderson,Helliger Rauch,gold,
2017,Fast Like A Monk,BJCP 2015,Vincent Clifford,St. Reatham Single,gold,bronze
2017,Fast Like A Monk,BJCP 2015,Jeremiah Petersen,Conceit,silver,
2017,Fast Like A Monk,BJCP 2015,Jeremiah Petersen,Educator,gold,gold
2017,NAWB National,NGWBJ,Chris Pinnock,Dry Stout,silver,
2017,NAWB National,NGWBJ,Mike Carter,Porter,4th,
2017,NAWB National,NGWBJ,Mike Carter,Barley Wine,bronze,
2017,NAWB National,NGWBJ,Phill Turner,English IPA,silver,
2017,NAWB National,NGWBJ,Phill Turner,Porter,gold,
2017,NAWB National,NGWBJ,Phill Turner,Light Lager,gold,
2017,London & Southeast,BJCP 2015,Alex Allen,Sweet Stout,bronze,
2017,London & Southeast,BJCP 2015,Fraser Withers,Smooth Hands,bronze,
2017,London & Southeast,BJCP 2015,Sean Cummins,Blonde Tripel,bronze,
2017,London & Southeast,BJCP 2015,Phill Turner,Mr Goldings,silver,
2017,London & Southeast,BJCP 2015,Rich Lock,Retribution DIPA,silver,
2017,London & Southeast,BJCP 2015,Mark Sanderson,Catford Blonde,silver,
2017,London & Southeast,BJCP 2015,John Kellett,Oaty Cokey Resurrection,gold,
2017,London & Southeast,BJCP 2015,James Wilson,Saison D'etre,gold,
2017,London & Southeast,BJCP 2015,Paul Hadfield,Melonish,gold,
2017,London & Southeast,BJCP 2015,Rob Gallagher,Sklodowska' Oalen Heart,silver,
2017,London & Southeast,BJCP 2015,Rob Gallagher,Karl's Universal Liberator,gold,silver
2017,VI. Hrvatsko Homebrew Prvenstvo,BJCP 2015,Lee Immins,Ooldveek Single,silver,
2017,The Homebrew Festival,NGWBJ,Mike Carter,Porter,gold,gold
2017,Welsh National,BJCP 2015,Rich Lock,Retribution Porter,bronze,
2017,Welsh National,BJCP 2015,Phill Turner,Georgijs Voshington Porter,silver,
2017,Welsh National,BJCP 2015,Phill Turner,Mr Goldings,gold,
2017,Welsh National,BJCP 2015,Sam Whaley,Regency,gold,
2017,Welsh National,BJCP 2015,Lee Immins,Ooldveek Tripel,gold,
2017,Welsh National,BJCP 2015,Lee Immins,Man's IBS,gold,
2017,London vs Leeds New England IPA Challenge,BJCP 2015,Neal Irvin,NEIPA,bronze,
2017,London vs Leeds New England IPA Challenge,BJCP 2015,Fraser Withers,Welcome To Murkvile,gold,gold
2017,UK National Homebrewing Competition,BJCP 2015,Richard Clibborn,3 Phase Tripel,bronze,
2017,UK National Homebrewing Competition,BJCP 2015,Fraser Withers,Lemon Drop,bronze,
2017,UK National Homebrewing Competition,BJCP 2015,Fraser Withers,Death Star,silver,
2017,UK National Homebrewing Competition,BJCP 2015,Fraser Withers,Crossroads,silver,
2017,UK National Homebrewing Competition,BJCP 2015,Fraser Withers,Best Mate,silver,
2017,UK National Homebrewing Competition,BJCP 2015,Sasha Maznov,Saison IPA,silver,
2017,UK National Homebrewing Competition,BJCP 2015,Lee Immins,Knight,silver,
2017,UK National Homebrewing Competition,BJCP 2015,Rich Lock,Retribution DIPA,gold,
2017,UK National Homebrewing Competition,BJCP 2015,Paul Spearman,Paul's Old Ale,gold,
2017,UK National Homebrewing Competition,BJCP 2015,Mark Sanderson,Matt Monroe,gold,
2017,UK National Homebrewing Competition,BJCP 2015,Ken Bazley,Great Galah,gold,silver
2017,Bexley Festival,NGWBJ,Mark Sanderson,Other Beer (Kolsch),gold,
2017,Bexley Festival,NGWBJ,Mark Sanderson,Bitter,gold,gold
2017,Brew Con World Series,BJCP 2015,Rob Gallagher,Skłodowska's Oaken Heart,gold,
2017,Brew Con World Series,BJCP 2015,Richard Clibborn,3 Phase Tripel IPA,silver,
2017,Brew Con World Series,BJCP 2015,Mike Carter,Not A Boys' Bitter,silver,
2017,Brew Con World Series,BJCP 2015,Mark Sanderson,Perle's Cafe,bronze,
2017,Brew Con World Series,BJCP 2015,Mark Sanderson,Daisycutter,silver,
2017,Brew Con World Series,BJCP 2015,Lee Immins,Bring Your Daughter To The Porter,silver,
2017,Brew Con World Series,BJCP 2015,Mark Charlwood,Diet Dark Lord,bronze,
2017,Brew Con World Series,BJCP 2015,Fraser Withers,Blue Jay,silver,
2017,Brew Con World Series,BJCP 2015,Fraser Withers,Crossroads,silver,
2017,Brew Con World Series,BJCP 2015,Fraser Withers,Tea Junction,gold,
2017,Brew Con World Series,BJCP 2015,James Wilson,Saison Campsis,silver,
2017,Brew Con World Series,BJCP 2015,James Wilson,Fat Cat,silver,
2017,Brew Con World Series,BJCP 2015,James Wilson,Chocolate Bomb,silver,
2017,Brew Con World Series,BJCP 2015,James Wilson,Men Vs Wheat,silver,
2017,Black Friday,BJCP 2015,Neal Irvin,Darkside Of Paradise,silver,
2017,Black Friday,BJCP 2015,Ken Bazley,Rodenblack,bronze,
2017,Black Friday,BJCP 2015,Mark Sanderson,Friend Of Tom,silver,
2017,Black Friday,BJCP 2015,Mike Carter,A Bit Of Inner Darkness,HM,
2017,Black Friday,BJCP 2015,John Kellett,Not To Be Rushed,bronze,
2017,Black Friday,BJCP 2015,Devon Macdougall,Black Armadillo,bronze,
2017,Black Friday,BJCP 2015,Barry Watts,Mauby Stout,silver,
2017,Black Friday,BJCP 2015,Lee Immins,Bring Your Daughter To The Porter,HM,
2018,Welsh National,BJCP 2015,Mark Sanderson,Prickle Puss,silver,
2018,Manchester Mini Competition,BJCP 2015,Mark Sanderson,The Cats Bit Her,silver,
2018,Manchester Mini Competition,BJCP 2015,Mark Sanderson,Mark Smiled,silver,
2018,Welsh National,BJCP 2015,Stew Horne,I Am Not Lee Immins,bronze,
